"","type","country","year","mood","Heterogeneity"
"600","Citizen","CostaRica",2009,1.61580293534233,2.69589273915182
"606","Citizen","CostaRica",2010,0.204078756360997,1.76633550437827
"616","Citizen","CostaRica",2011,0.441291946080198,2.5379669419375
"620","Citizen","CostaRica",2012,0.0482880653468987,2.12343275508519
"625","Citizen","CostaRica",2013,0.0592453179009913,2.31258262425259
"628","Citizen","CostaRica",2014,0.349993260472857,2.25685589352849
"630","Citizen","DominicanRep",2004,0.255126647153813,1.86377359992855
"633","Citizen","DominicanRep",2005,0.994785743009692,3.37076978268333
"639","Citizen","DominicanRep",2006,0.41160830901567,2.49680924718135
"641","Citizen","DominicanRep",2007,2.39688946403194,2.36988321788044
"652","Citizen","DominicanRep",2008,-0.126236977428404,0.750276956156674
"669","Citizen","DominicanRep",2009,0.750876549337129,3.74547767449996
"675","Citizen","DominicanRep",2010,0.351285738188739,1.77089239028278
"685","Citizen","DominicanRep",2011,0.00728718904660549,2.44487870211855
"689","Citizen","DominicanRep",2012,-0.409725060978335,1.6376323487731
"694","Citizen","DominicanRep",2013,0.775957385176881,2.19809226324877
"697","Citizen","DominicanRep",2014,-0.0290724163942921,1.91759519672162
"699","Citizen","Ecuador",1996,-0.66601898989569,1.79822152987685
"703","Citizen","Ecuador",1998,1.11681338521702,0.44206328748346
"712","Citizen","Ecuador",2000,1.40266513383992,2.67424679407479
"716","Citizen","Ecuador",2001,1.11331410753434,2.40775262784971
"723","Citizen","Ecuador",2002,0.350525467027387,2.22856242402173
"728","Citizen","Ecuador",2003,-0.410138284941961,1.38268700074904
"733","Citizen","Ecuador",2004,-0.178177858550839,2.07843398704281
"736","Citizen","Ecuador",2005,0.790869657524895,3.03906198266078
"742","Citizen","Ecuador",2006,0.137873772571572,2.37431646845853
"744","Citizen","Ecuador",2007,1.15619868551567,4.2868818487477
"755","Citizen","Ecuador",2008,0.146937586353129,0.919577048618288
"772","Citizen","Ecuador",2009,0.606152002193666,4.14260994806626
"778","Citizen","Ecuador",2010,0.451375278714047,1.73720310195734
"788","Citizen","Ecuador",2011,0.650316239259273,1.83446873661204
"792","Citizen","Ecuador",2012,-0.0958112924930427,2.04793906855397
"797","Citizen","Ecuador",2013,1.14133510781572,2.04485690663148
