"","actor.type","year","real.year","country","country.name","Mood","Polarization"
"272",1,11,2003,17,"Uruguay",-0.439074837788332,0.774410750445979
"273",1,12,2004,17,"Uruguay",-0.442783085632186,1.50370474199608
"274",1,13,2005,17,"Uruguay",0.657574071282635,1.93733856798753
"275",1,14,2006,17,"Uruguay",0.187200041627318,2.09551266754337
"276",1,15,2007,17,"Uruguay",0.36024698864318,1.70176996236245
"277",1,16,2008,17,"Uruguay",-0.245323030690396,0.694154043835809
"278",1,17,2009,17,"Uruguay",0.158611190352414,2.48074964687931
"279",1,18,2010,17,"Uruguay",-0.0156811160732984,0.965754188812057
"280",1,19,2011,17,"Uruguay",-0.0843010713616707,1.14513340813361
"281",1,20,2012,17,"Uruguay",-0.508169651997036,1.33794550900243
"282",1,21,2013,17,"Uruguay",-0.308139551027525,1.32451034045728
"283",1,22,2014,17,"Uruguay",-0.0822951323438392,1.84571004505324
"284",1,4,1996,18,"Venezuela",-1.04012083367876,1.51622048981234
"285",1,6,1998,18,"Venezuela",-0.151922367592579,0.48416750941555
"286",1,8,2000,18,"Venezuela",0.636496674745379,2.32411283676144
"287",1,9,2001,18,"Venezuela",-0.257350578185129,1.8867982048011
"288",1,10,2002,18,"Venezuela",-0.552184857734059,1.94133789825613
"289",1,11,2003,18,"Venezuela",-0.923888560848511,0.880174417556514
"290",1,12,2004,18,"Venezuela",-0.215908261238639,1.92536824367423
"291",1,13,2005,18,"Venezuela",0.293702972330429,2.36505730493351
"292",1,14,2006,18,"Venezuela",0.857391177839818,1.75618907886791
"293",1,15,2007,18,"Venezuela",0.266944752649042,2.40751613842881
"294",1,16,2008,18,"Venezuela",-0.637135567745832,0.763223411196101
"295",1,17,2009,18,"Venezuela",-0.30063537365018,2.62510126457404
"296",1,18,2010,18,"Venezuela",-0.234198428053908,1.24043502758497
"297",1,19,2011,18,"Venezuela",-0.503835688478546,1.6066110980734
"298",1,20,2012,18,"Venezuela",-0.512537174798845,1.34500000353384
"299",1,21,2013,18,"Venezuela",-0.316473741828624,2.00188683114723
"300",1,22,2014,18,"Venezuela",0.691510630176879,1.66526168160733
"301",2,3,1995,1,"Argentina",0.955489485420216,0.551065357348524
"302",2,5,1997,1,"Argentina",0.631350057460992,0.198246502743617
"303",2,11,2003,1,"Argentina",0.392571943858048,0.379695064347064
"304",2,13,2005,1,"Argentina",-0.425883271792795,2.4268467226832
"305",2,17,2009,1,"Argentina",-1.34249653231537,2.80239202638056
"306",2,1,1993,2,"Bolivia",0.612442829124232,0.231465754346414
"307",2,5,1997,2,"Bolivia",0.0499304778658793,0.314432470971156
"308",2,10,2002,2,"Bolivia",-0.466716825957322,1.29081551685178
"309",2,14,2006,2,"Bolivia",-0.438451786288062,1.49136713861799
"310",2,11,2003,3,"Brazil",0.15701072933032,0.431066930778084
"311",2,15,2007,3,"Brazil",-0.477473506523035,2.33814945673231
"312",2,21,2013,3,"Brazil",0.858104527084487,0.161815252604656
"313",2,1,1993,4,"Chile",0.872991104715356,0.40564728613745
"314",2,5,1997,4,"Chile",0.510874103485955,0.115960224593807
"315",2,10,2002,4,"Chile",0.370000155169456,0.478898496478685
"316",2,14,2006,4,"Chile",0.344098035766991,1.12439801652571
"317",2,18,2010,4,"Chile",-0.0591202087247924,2.48208702000742
"318",2,6,1998,5,"Colombia",0.331967761878903,0.329682979518145
"319",2,10,2002,5,"Colombia",0.186304619991191,0.776022840954659
"320",2,14,2006,5,"Colombia",-0.0143818447210637,1.1473460877502
"321",2,18,2010,5,"Colombia",-1.16454628542481,4.63738174389067
"322",2,2,1994,6,"CostaRica",0.0781635557174161,1.82306568114043
"323",2,6,1998,6,"CostaRica",0.0618437227666137,0.185706551918489
"324",2,10,2002,6,"CostaRica",-0.349831690891363,1.44572729249172
"325",2,14,2006,6,"CostaRica",-0.196283114631996,1.04472504947953
"326",2,18,2010,6,"CostaRica",-1.15444818500789,2.67689692601864
"327",2,2,1994,7,"DominicanRep",-0.620139121206869,2.6013356624274
"328",2,6,1998,7,"DominicanRep",0.149209863228413,0.331301544573201
"329",2,10,2002,7,"DominicanRep",0.102374654792857,0.387543817144663
"330",2,14,2006,7,"DominicanRep",0.0830578316708659,0.918488842591762
"331",2,18,2010,7,"DominicanRep",-0.774872236434731,3.07641245144199
"332",2,4,1996,8,"Ecuador",0.517916337090488,0.92008644254541
"333",2,6,1998,8,"Ecuador",0.418039567054148,0.0961869672334897
"334",2,10,2002,8,"Ecuador",-0.204133215121591,0.910656409201711
"335",2,15,2007,8,"Ecuador",-1.16889145641611,1.85577900502649
"336",2,17,2009,8,"Ecuador",-1.39356597125272,1.6689802792932
"337",2,2,1994,9,"ElSalvador",-0.0767787487739421,2.89678996532059
"338",2,5,1997,9,"ElSalvador",0.452492004081621,0.159745670034495
"339",2,8,2000,9,"ElSalvador",0.04728744255739,0.444667726814732
"340",2,11,2003,9,"ElSalvador",0.166794481107569,0.625252428859106
"341",2,17,2009,9,"ElSalvador",-0.982569892571048,1.6595102316417
"342",2,3,1995,10,"Guatemala",0.543915491358866,0.116796595477611
"343",2,8,2000,10,"Guatemala",0.209171943611211,0.612514308257908
"344",2,12,2004,10,"Guatemala",0.13844299079007,0.771250030163418
"345",2,16,2008,10,"Guatemala",0.316247469448699,0.818061724693952
"346",2,20,2012,10,"Guatemala",-0.17304085050659,2.45566405283097
"347",2,2,1994,11,"Honduras",-0.63188422202252,1.88755051287213
"348",2,5,1997,11,"Honduras",0.397318916836736,0.0972239499055151
"349",2,10,2002,11,"Honduras",0.065248209664809,0.739156384477653
"350",2,14,2006,11,"Honduras",-0.173707215720538,0.8302708604748
"351",2,18,2010,11,"Honduras",-0.0303485945760734,3.01502402749935
"352",2,2,1994,12,"Mexico",0.356947457866385,0.63970225719785
"353",2,5,1997,12,"Mexico",0.216700866905936,0.207515817407768
"354",2,8,2000,12,"Mexico",0.21718132539608,0.210159280999417
"355",2,11,2003,12,"Mexico",0.0176389455764349,0.685876310900127
"356",2,14,2006,12,"Mexico",-0.413227833946614,0.702529128408514
"357",2,17,2009,12,"Mexico",-1.03143318999554,2.17416582120016
"358",2,4,1996,13,"Nicaragua",0.166509708966155,0.117901145214929
"359",2,10,2002,13,"Nicaragua",-0.182770033696622,1.24508939297345
"360",2,15,2007,13,"Nicaragua",-0.109076852746876,0.847416151165748
"361",2,7,1999,14,"Panama",0.717224746012933,0.350495711651321
"362",2,12,2004,14,"Panama",0.392004846129878,1.14675469656047
"363",2,17,2009,14,"Panama",-1.00295647081089,1.6997821906452
"364",2,1,1993,15,"Paraguay",0.70131883446594,0.411115066528668
"365",2,6,1998,15,"Paraguay",0.235402445707635,0.223103333846116
"366",2,11,2003,15,"Paraguay",-0.485913958028111,1.31606638110732
"367",2,16,2008,15,"Paraguay",0.264153860160169,0.442317756926782
"368",2,3,1995,16,"Peru",0.836412689194132,0.33077615127641
"369",2,9,2001,16,"Peru",0.207865640904712,0.302534593918426
"370",2,14,2006,16,"Peru",-0.00657922097163052,1.95718619367769
"371",2,3,1995,17,"Uruguay",0.126394254173045,2.59651682989997
"372",2,8,2000,17,"Uruguay",0.627204054387923,0.231251858930135
"373",2,13,2005,17,"Uruguay",-0.132649006716085,1.39805073012423
"374",2,17,2009,17,"Uruguay",-1.59966020218678,2.7400420472763
"375",2,1,1993,18,"Venezuela",0.588328168225856,0.664587453488285
"376",2,8,2000,18,"Venezuela",0.173004414667434,0.421973923042528
"377",3,3,1995,1,"Argentina",1.01796510022837,0.496279968601865
"378",3,5,1997,1,"Argentina",0.651549191193677,0.190921197180754
"379",3,11,2003,1,"Argentina",0.422011642625116,0.339642248661902
"380",3,13,2005,1,"Argentina",-0.400862351614217,2.46045319960264
"381",3,17,2009,1,"Argentina",-1.53675153822915,2.65345851979041
"382",3,1,1993,2,"Bolivia",0.643154177162111,0.220362047411461
"383",3,5,1997,2,"Bolivia",0.0747770165502138,0.293669916237181
"384",3,10,2002,2,"Bolivia",-0.494347862341912,1.45893523151358
"385",3,14,2006,2,"Bolivia",-0.289130594680978,1.31505924336913
"386",3,11,2003,3,"Brazil",0.226068415292937,0.356515321390406
"387",3,15,2007,3,"Brazil",-0.344347727458581,2.26792104080895
"388",3,21,2013,3,"Brazil",0.846603751092079,0.156968676228801
"389",3,1,1993,4,"Chile",0.882197237863619,0.377167454450982
"390",3,5,1997,4,"Chile",0.493305349330315,0.120757532750063
"391",3,10,2002,4,"Chile",0.341866775783218,0.451215583877515
"392",3,14,2006,4,"Chile",0.250047935159252,1.27747489326464
"393",3,18,2010,4,"Chile",0.0809070217377457,2.62262229176324
"394",3,6,1998,5,"Colombia",0.357556398732218,0.3165125640511
"395",3,10,2002,5,"Colombia",-0.618216914897615,1.46542271524837
"396",3,14,2006,5,"Colombia",-0.0869753183503511,1.17034091041947
"397",3,18,2010,5,"Colombia",-1.2512757915541,4.51462292799233
"398",3,2,1994,7,"DominicanRep",-0.60825206144981,2.53834686005618
"399",3,6,1998,7,"DominicanRep",0.127093620657809,0.35381054871319
"400",3,10,2002,7,"DominicanRep",0.060534956133771,0.349649385206266
"401",3,14,2006,7,"DominicanRep",0.059303824996881,0.929711519173646
"402",3,18,2010,7,"DominicanRep",-0.855122707867777,3.15080782639626
"403",3,2,1994,12,"Mexico",0.362171853122829,0.64105741731045
"404",3,5,1997,12,"Mexico",0.246916807725626,0.197052766616117
"405",3,8,2000,12,"Mexico",0.203360132102948,0.216160545996283
"406",3,11,2003,12,"Mexico",0.110061011669154,0.52140163412471
"407",3,14,2006,12,"Mexico",-0.258973000920347,0.642551514007762
"408",3,17,2009,12,"Mexico",-0.80774459842134,2.41813459876095
"409",3,1,1993,15,"Paraguay",0.701482503680078,0.427877869809374
"410",3,6,1998,15,"Paraguay",0.225890326606579,0.233874729352505
"411",3,11,2003,15,"Paraguay",-0.433226450175314,1.29086904542848
"412",3,16,2008,15,"Paraguay",0.297242720060356,0.398219459757327
"413",3,3,1995,17,"Uruguay",0.152048999596173,2.67956129082058
"414",3,8,2000,17,"Uruguay",0.645483709499297,0.215252436016898
