"country","year","type","mood1990","Heterogeneity1990","LH_clust","UH_clust","E_clust","LH_pref_const","LH_pref_het_const","LH_pref_spline","LH_pref_het_spline","ExecParty_pref_const","MedianParty_pref_const","ExecParty_pref_spline","MedianParty_pref_spline","UH_pref_const","UH_pref_het_const","UH_pref_spline","UH_pref_het_spline","L_pref_const","L_pref_spline","L_het_const","L_het_spline","E_pref_const","E_pref_het_const","E_pref_spline","E_pref_het_spline","ProcessName","ProcessNumberAll","ProcessCollapsed","gdp2y","infl2y","unemp2y","decade","lag_policy","ChangePolicy","lag_L_pref_const","ChangeLPrefConst","lag_ChangeLPrefConst","lag_L_pref_spline","ChangeLPrefSpline","lag_ChangeLPrefSpline","lag_E_pref_const","ChangeEPrefConst","lag_ChangeEPrefConst","lag_E_pref_spline","ChangeEPrefSpline","lag_ChangeEPrefSpline","lag_L_het_const","ChangeLHetConst","lag_L_het_spline","ChangeLHetSpline","mo_cong_s_L","mo_cong_c_L","winset_incong_s_B","winset_cong_c_B","winset_cong_s_B","dist_const","dist_spline"
"Peru",2000,"Policy",0.916084884406712,1,"LH-Only budget",NA,"Proactive president",1.91046087524386,0.581877957252656,1.14043234549785,0.416494424431022,0.468468509335702,0.468468509335702,0.217404096881518,0.0181328399878474,NA,NA,NA,NA,1.91046087524386,1.14043234549785,0.581877957252656,0.416494424431022,0.311997169177886,6.13433200998018,0.45500861527888,6.40863305682686,"LH-Only budget:NA:Proactive president",13,7,0.676217,-0.407048126163219,6.350000143,"2000",0.904817610602792,0.01126727380392,1.91046087524386,0,0,1.25075692692401,-0.110324581426156,-0.132165143687679,0.311997169177886,0,0,0.362063632473848,0.0929449828050319,0.0607736360126153,0.581877957252656,0,0.391518539546006,0.0249758848850165,0.587198208895047,0.262111723799916,NA,FALSE,FALSE,1.59846370606597,0.888693294450162
"Peru",2001,"Policy",1.26706641235673,1,"LH-Only budget",NA,"Proactive president",1.05194832633322,0.472516254941748,1.05194832633322,0.472516254941748,0.188417410714286,-0.0108538461793846,0.188417410714286,-0.0108538461793846,NA,NA,NA,NA,1.05194832633322,1.05194832633322,0.472516254941748,0.472516254941748,0.580124944876328,6.4360791082305,0.580124944876328,6.4360791082305,"LH-Only budget:NA:Proactive president",13,7,0.291733,-0.441274312252878,5.75,"2000",0.916084884406712,0.350981527950018,1.91046087524386,-0.85851254891064,0,1.14043234549785,-0.0884840191646337,-0.110324581426156,0.311997169177886,0.268127775698442,0,0.45500861527888,0.125116329597449,0.0929449828050319,0.581877957252656,-0.109361702310908,0.416494424431022,0.056021830510726,0.914169680499031,0.470454705421137,NA,FALSE,FALSE,1.59846370606597,0.685423730218974
"Peru",2002,"Policy",1.22439429876741,1,"LH-Only budget",NA,"Proactive president",1.05194832633322,0.472516254941748,0.985304869430109,0.571708982515936,0.188417410714286,-0.0108538461793846,0.166506123321589,-0.0194803831125036,NA,NA,NA,NA,1.05194832633322,0.985304869430109,0.472516254941748,0.571708982515936,0.580124944876328,6.4360791082305,0.737412621266193,6.45400734855605,"LH-Only budget:NA:Proactive president",13,7,1.697918,-0.523279335299914,5.399999857,"2000",1.26706641235673,-0.04267211358932,1.05194832633322,0,-0.85851254891064,1.05194832633322,-0.0666434569031112,-0.0884840191646337,0.580124944876328,0,0.268127775698442,0.580124944876328,0.157287676389865,0.125116329597449,0.472516254941748,0,0.472516254941748,0.0991927275741877,0.875155155771099,0.865214022312216,NA,TRUE,TRUE,0.471823381456892,0.471823381456892
"Peru",2003,"Policy",1.39533627097174,1,"LH-Only budget",NA,"Proactive president",1.05194832633322,0.472516254941748,0.94050197478852,0.737707127809789,0.188417410714286,-0.0108538461793846,0.151670234703427,-0.00774677081150969,NA,NA,NA,NA,1.05194832633322,0.94050197478852,0.472516254941748,0.737707127809789,0.580124944876328,6.4360791082305,0.926871644448475,6.46233773943018,"LH-Only budget:NA:Proactive president",13,7,3.48503,-0.516847568786421,5.899999857,"2000",1.22439429876741,0.17094197220433,1.05194832633322,0,0,0.985304869430109,-0.0448028946415887,-0.0666434569031112,0.580124944876328,0,0,0.737412621266193,0.189459023182282,0.157287676389865,0.472516254941748,0,0.571708982515936,0.165998145293853,0.666547054066369,0.644161637936305,NA,FALSE,FALSE,0.471823381456892,0.247892248163916
"Peru",2004,"Policy",1.17328415350706,1,"LH-Only budget",NA,"Proactive president",1.05194832633322,0.472516254941748,0.917539642408454,1.01518138325729,0.188417410714286,-0.0108538461793846,0.1439097448598,0.0243469907235972,NA,NA,NA,NA,1.05194832633322,0.917539642408454,0.472516254941748,1.01518138325729,0.580124944876328,6.4360791082305,1.14850201442317,6.46103304034683,"LH-Only budget:NA:Proactive president",13,7,3.265925,-0.43713960520849,5.649999857,"2000",1.39533627097174,-0.22205211746468,1.05194832633322,0,0,0.94050197478852,-0.0229623323800663,-0.0448028946415887,0.580124944876328,0,0,0.926871644448475,0.221630369974699,0.189459023182282,0.472516254941748,0,0.737707127809789,0.277474255447501,0.901343227463986,0.942818995998123,NA,TRUE,TRUE,0.471823381456892,0.0136303303400452
"Peru",2005,"Policy",1.17741843095693,1,"LH-Only budget",NA,"Proactive president",1.05194832633322,0.472516254941748,0.91641787228991,1.48988933536893,0.188417410714286,-0.0108538461793846,0.143224653790707,0.0768009014928171,NA,NA,NA,NA,1.05194832633322,0.91641787228991,0.472516254941748,1.48988933536893,0.580124944876328,6.4360791082305,1.40230373119029,6.4500990859984,"LH-Only budget:NA:Proactive president",13,7,4.327195,-0.45184078581076,5.199999809,"2000",1.17328415350706,0.00413427744987005,1.05194832633322,0,0,0.917539642408454,-0.00112177011854364,-0.0229623323800663,0.580124944876328,0,0,1.14850201442317,0.253801716767115,0.221630369974699,0.472516254941748,0,1.01518138325729,0.474707952111643,0.914285122509099,0.933238809962094,NA,FALSE,FALSE,0.471823381456892,0.23096237201472
"Peru",2006,"Policy",1.20326824268027,1,"LH-Only budget",NA,"Proactive president",0.937136664432889,2.33192768987989,0.937136664432889,2.33192768987989,0.14961496149615,0.14961496149615,0.14961496149615,0.14961496149615,NA,NA,NA,NA,0.937136664432889,0.937136664432889,2.33192768987989,2.33192768987989,1.68827679474982,6.42958474280891,1.68827679474982,6.42958474280891,"LH-Only budget:NA:Proactive president",13,7,5.60478,-0.489971972997897,4.899999857,"2000",1.17741843095693,0.0258498117233401,1.05194832633322,-0.114811661900331,0,0.91641787228991,0.0207187921429788,-0.00112177011854364,0.580124944876328,1.10815184987349,0,1.40230373119029,0.285973063559532,0.253801716767115,0.472516254941748,1.85941143493814,1.48988933536893,0.842038354510958,0.96169476596253,0.906223620220023,NA,FALSE,FALSE,0.471823381456892,0.485885858900378
"Peru",2007,"Policy",1.20932457818997,1,"LH-Only budget",NA,"Proactive president",0.937136664432889,2.33192768987989,0.937136664432889,2.33192768987989,0.14961496149615,0.14961496149615,0.14961496149615,0.14961496149615,NA,NA,NA,NA,0.937136664432889,0.937136664432889,2.33192768987989,2.33192768987989,1.68827679474982,6.42958474280891,1.68827679474982,6.42958474280891,"LH-Only budget:NA:Proactive president",13,7,6.71304,-0.486296677847329,4.5499999525,"2000",1.20326824268027,0.00605633550969986,0.937136664432889,0,-0.114811661900331,0.937136664432889,0,0.0207187921429788,1.68827679474982,0,1.10815184987349,1.68827679474982,0,0.285973063559532,2.33192768987989,0,2.33192768987989,0,0.974058039517213,0.98013277802801,NA,FALSE,FALSE,0.751140130316931,0.751140130316931
"Peru",2008,"Policy",1.23499416180608,1,"LH-Only budget",NA,"Proactive president",0.937136664432889,2.33192768987989,0.937136664432889,2.33192768987989,0.14961496149615,0.14961496149615,0.14961496149615,0.14961496149615,NA,NA,NA,NA,0.937136664432889,0.937136664432889,2.33192768987989,2.33192768987989,1.68827679474982,6.42958474280891,1.68827679474982,6.42958474280891,"LH-Only budget:NA:Proactive president",13,7,7.50788,-0.399238123968263,4.5,"2000",1.20932457818997,0.02566958361611,0.937136664432889,0,0,0.937136664432889,0,0,1.68827679474982,0,0,1.68827679474982,0,0,2.33192768987989,0,2.33192768987989,0,0.977470528998356,0.996273932454052,NA,FALSE,FALSE,0.751140130316931,0.751140130316931
"Peru",2009,"Policy",1.26154314110261,1,"LH-Only budget",NA,"Proactive president",0.937136664432889,2.33192768987989,0.937136664432889,2.33192768987989,0.14961496149615,0.14961496149615,0.14961496149615,0.14961496149615,NA,NA,NA,NA,0.937136664432889,0.937136664432889,2.33192768987989,2.33192768987989,1.68827679474982,6.42958474280891,1.68827679474982,6.42958474280891,"LH-Only budget:NA:Proactive president",13,7,3.804383,-0.37282194007356,4.4500000475,"2000",1.23499416180608,0.0265489792965299,0.937136664432889,0,0,0.937136664432889,0,0,1.68827679474982,0,0,1.68827679474982,0,0,2.33192768987989,0,2.33192768987989,0,0.991723117228218,0.979719372675831,NA,FALSE,FALSE,0.751140130316931,0.751140130316931
