"","type","country","year","mood","Heterogeneity"
"211","Citizen","Brazil",1998,0.769189524840355,0.872361485000619
"220","Citizen","Brazil",2000,0.748797932339103,2.68479846788579
"224","Citizen","Brazil",2001,0.684789557029796,2.19872841563372
"231","Citizen","Brazil",2002,0.693043645210216,2.46017678038299
"236","Citizen","Brazil",2003,0.418786463984575,1.22730639541243
"241","Citizen","Brazil",2004,0.640882917591979,1.40331280506742
"244","Citizen","Brazil",2005,1.01387010858677,2.73935064288697
"250","Citizen","Brazil",2006,0.766532392070071,3.00535943097033
"252","Citizen","Brazil",2007,1.28417847295268,5.04384025465484
"263","Citizen","Brazil",2008,0.728438176771183,1.04293172603175
"280","Citizen","Brazil",2009,1.3934684651617,2.85012930060455
"286","Citizen","Brazil",2010,0.789917947467228,1.38166679269938
"296","Citizen","Brazil",2011,0.83083462301119,3.11933307469866
"300","Citizen","Brazil",2012,-0.251906770266947,2.7772878446002
"305","Citizen","Brazil",2013,0.622233944275741,2.34531960770643
"308","Citizen","Brazil",2014,0.535922186857552,2.41984757395001
"310","Citizen","Chile",1996,-0.235871055215515,1.9123578743409
"314","Citizen","Chile",1998,0.707888945772373,0.6761557355251
"323","Citizen","Chile",2000,0.754557808576264,3.44344571543821
"327","Citizen","Chile",2001,1.16484209488758,1.35930369453425
"334","Citizen","Chile",2002,-0.201383632332102,2.40847478516536
"339","Citizen","Chile",2003,0.326276232791268,1.15167297381531
"344","Citizen","Chile",2004,0.569598536397952,1.84758352600199
"347","Citizen","Chile",2005,1.15947665268439,2.32398767831984
"353","Citizen","Chile",2006,0.392100257143836,2.49433959459335
"355","Citizen","Chile",2007,0.794652251427236,3.60738174666177
"366","Citizen","Chile",2008,-0.121805873103216,1.13956203407233
"383","Citizen","Chile",2009,0.750168634077748,2.81624041133804
"389","Citizen","Chile",2010,0.232412889527737,1.25445973849124
"399","Citizen","Chile",2011,-0.29732614524816,1.99000144634306
"403","Citizen","Chile",2012,-0.520702045815197,1.86467575596189
"408","Citizen","Chile",2013,-0.125991787452413,2.19344668214909
"411","Citizen","Chile",2014,-0.364989602630685,2.12772428778436
"413","Citizen","Colombia",1996,-0.234902496973526,2.24428983351558
"417","Citizen","Colombia",1998,1.14872600520004,0.660905113993951
"426","Citizen","Colombia",2000,1.15300655952507,4.50887813139008
"430","Citizen","Colombia",2001,0.394145889307238,2.59555113897433
"437","Citizen","Colombia",2002,0.262789592059689,2.12630765867953
"442","Citizen","Colombia",2003,0.546542476841484,1.06245780142673
"447","Citizen","Colombia",2004,0.573015287109228,1.89157657761534
"450","Citizen","Colombia",2005,1.18410623455819,3.69471772865954
"456","Citizen","Colombia",2006,0.349201214900624,2.4962959737233
"458","Citizen","Colombia",2007,1.61744214624723,3.9081601894434
"469","Citizen","Colombia",2008,0.723820635497962,0.9921223760673
"486","Citizen","Colombia",2009,0.303375730510463,2.61139748577595
"497","Citizen","Colombia",2010,0.753271121841571,1.82114291096776
"507","Citizen","Colombia",2011,0.595791914996308,1.56335080465905
"517","Citizen","Colombia",2012,0.276623330814906,2.25047790435183
"522","Citizen","Colombia",2013,0.424893053019951,2.0301149033624
"525","Citizen","Colombia",2014,0.604360345931335,2.67730552598469
"527","Citizen","CostaRica",1996,-0.301484129260976,2.38786821198678
"531","Citizen","CostaRica",1998,1.33088608196218,0.675890409164909
"540","Citizen","CostaRica",2000,1.11525153954597,3.11926448768232
"544","Citizen","CostaRica",2001,0.623664969684393,2.83197913562944
"551","Citizen","CostaRica",2002,0.763348286164137,2.68233149162969
"556","Citizen","CostaRica",2003,0.415469122001145,1.01267164061955
"561","Citizen","CostaRica",2004,0.747706954860999,1.50839842979563
"564","Citizen","CostaRica",2005,1.35573159287451,2.35073898298276
"570","Citizen","CostaRica",2006,0.208176341039379,2.70408721698532
"572","Citizen","CostaRica",2007,0.826579916622605,4.23287804795169
"583","Citizen","CostaRica",2008,0.626661816273875,1.0456243908332
"600","Citizen","CostaRica",2009,1.25065994744638,3.69413059352762
"606","Citizen","CostaRica",2010,0.588872906575583,1.58281444910925
"616","Citizen","CostaRica",2011,0.51951321853984,2.63852063971432
"620","Citizen","CostaRica",2012,0.359444964251393,2.38550502841014
"625","Citizen","CostaRica",2013,0.2285839845575,2.56925222081972
"628","Citizen","CostaRica",2014,0.662795427729969,2.67298193972658
"630","Citizen","DominicanRep",2004,0.422129918153914,1.65983436675283
"633","Citizen","DominicanRep",2005,0.780934495775592,4.24054703689145
"639","Citizen","DominicanRep",2006,0.477889693555974,2.9181687174146
"641","Citizen","DominicanRep",2007,1.74922983697284,4.01116400379144
"652","Citizen","DominicanRep",2008,0.652091604997991,0.953191984950471
"669","Citizen","DominicanRep",2009,0.824702691773963,3.82111720141345
"675","Citizen","DominicanRep",2010,0.717441428776238,1.7658707976317
"685","Citizen","DominicanRep",2011,0.108537372291339,2.97942111657184
"689","Citizen","DominicanRep",2012,-0.0335436485147197,2.06743616067907
"694","Citizen","DominicanRep",2013,0.917505869639101,2.60305768022722
"697","Citizen","DominicanRep",2014,0.261288582486019,2.28665364685897
"699","Citizen","Ecuador",1996,-0.37206159397332,1.84142145466182
"703","Citizen","Ecuador",1998,1.26273191298906,0.666925082079237
