"year","country","type","mood_spline","Heterogeneity_spline","mood_const","Heterogeneity_const","exec_party_spline","median_party_spline","exec_party_const","median_party_const","CitizenMood","CitizenHet","group","elec_family","thresh","dm","sa.formula","gdp2y","infl2y","unemp2y","decade","lag_mood_const","ChangeMoodConst","lag_mood_spline","ChangeMoodSpline","lag_CitMood","lag_CitHet","ChangeCitMood","lag_ChangeCitMood","mm_cong_spline","mm_cong_const","oo_cong_spline","oo_cong_const","mo_cong_spline","mo_cong_const"
1998,"Chile","President",0.120091786617295,5.03798267308269,-0.489629116636271,5.23788398552241,-0.110969328403417,-0.0990460550868367,-0.0833004925867241,-0.0833004925867241,0.617468848397775,0.411856441998255,4,"TRS",0.5,1,"Majority",3.515895,-0.15231887943865,6.200000048,"1990",-0.489629116636271,0,-0.489629116636271,0.609720903253567,-0.219150367719203,1.77907283573351,0.836619216116978,0,0.731,0.738,0.746690952612249,0.787104861732147,0.968397464206076,0.972287612386791
1999,"Chile","President",0.941635738309604,4.78324306880537,-0.489629116636271,5.23788398552241,-0.123950581452275,-0.0948857172783247,-0.0833004925867241,-0.0833004925867241,0.696037321502206,0.675074586480067,4,"TRS",0.5,1,"Majority",-0.079515,-0.374905735088924,8.050000191,"1990",-0.489629116636271,0,0.120091786617295,0.821543951692308,0.617468848397775,0.411856441998255,0.0785684731044314,0.836619216116978,0.532,0.493,0.755191817299242,0.474586382120986,0.621504639859188,0.13007489048575
2000,"Chile","President",1.76591616512725,4.5415207027844,-0.489629116636271,5.23788398552241,-0.132465145111891,-0.0798025489610839,-0.0833004925867241,-0.0833004925867241,0.44432153391263,2.36611526652746,4,"TRS",0.5,1,"Majority",0.577885,-0.47622663353905,9.5,"2000",-0.489629116636271,0,0.941635738309604,0.824280426817642,0.696037321502206,0.675074586480067,-0.251715787589576,0.0785684731044314,0.543,0.519,0.483120064287758,0.457526355600581,0.273080067398574,0.230590663705277
2001,"Chile","President",2.38384649375681,4.36859003788203,-0.489629116636271,5.23788398552241,-0.146733912760861,-0.0627796199350104,-0.0833004925867241,-0.0833004925867241,0.631203926151157,3.41530795142327,4,"TRS",0.5,1,"Majority",2.635305,-0.457877179489027,9.150000095,"2000",-0.489629116636271,0,1.76591616512725,0.617930328629568,0.44432153391263,2.36611526652746,0.186882392238527,-0.251715787589576,0.691,0.785,0.340191021903419,0.51707627581716,0.618375538002281,0.858428948979536
2002,"Chile","President",2.5863401508849,4.31310974309931,2.5863401508849,4.31310974309931,-0.176977777777778,-0.0528,-0.176977777777778,-0.0528,1.08749805368008,1.34739743544896,4,"TRS",0.5,1,"Majority",1.513213,-0.56558049673916,9,"2000",-0.489629116636271,3.07596926752117,2.38384649375681,0.202493657128087,0.631203926151157,3.41530795142327,0.456294127528923,0.186882392238527,0.804,0.755,0.338393875595397,0.338393875595397,0.776171414571283,0.74596588729449
2003,"Chile","President",2.23666675514964,4.40959452445045,2.5863401508849,4.31310974309931,-0.228617075487166,-0.0560451318908157,-0.176977777777778,-0.0528,-0.200296936051492,2.22569933430647,4,"TRS",0.5,1,"Majority",1.839738,-0.626213475339235,8.6999998095,"2000",2.5863401508849,0,2.5863401508849,-0.349673395735259,1.08749805368008,1.34739743544896,-1.28779498973157,0.456294127528923,0.637,0.591,0.465296186063113,0.400185350294278,0.571947089974491,0.449361220743823
2004,"Chile","President",1.48752069299535,4.63256955122753,2.5863401508849,4.31310974309931,-0.287869908997274,-0.0674899500816888,-0.176977777777778,-0.0528,0.353456105603313,1.05962962655882,4,"TRS",0.5,1,"Majority",3.77595,-0.741097013739377,8.6500000955,"2000",2.5863401508849,0,2.23666675514964,-0.749146062154295,-0.200296936051492,2.22569933430647,0.553753041654805,-1.28779498973157,0.689,0.61,0.372049051689055,0.2640865699673,0.648086499897125,0.379631615857611
2005,"Chile","President",0.563952542817871,4.94217618189312,2.5863401508849,4.31310974309931,-0.336153823362281,-0.0793077619817175,-0.176977777777778,-0.0528,0.638431387682435,1.68225160461085,4,"TRS",0.5,1,"Majority",4.586175,-0.721949757339353,8.4000000955,"2000",2.5863401508849,0,1.48752069299535,-0.923568150177475,0.353456105603313,1.05962962655882,0.284975282079122,0.553753041654805,0.681,0.5,0.826107346751944,0.309321332282086,0.977841761761697,0.176527566842604
2006,"Chile","President",-0.308987116986932,5.29109210191535,-0.308987116986932,5.29109210191535,-0.354886363636364,-0.083671875,-0.354886363636364,-0.083671875,1.09733190590292,2.0880931541645,4,"TRS",0.5,1,"Majority",3.793375,-0.535264007439123,7.8499999045,"2000",2.5863401508849,-2.89532726787183,0.563952542817871,-0.872939659804803,0.638431387682435,1.68225160461085,0.458900518220485,0.284975282079122,0.664,0.692,0.513500306997329,0.513500306997329,0.778138563355607,0.756610734981306
2007,"Chile","President",-0.924519473667537,5.623610286772,-0.308987116986932,5.29109210191535,-0.326697337008569,-0.0734630781277389,-0.354886363636364,-0.083671875,0.426392422391265,2.42232590029622,4,"TRS",0.5,1,"Majority",3.61119,-0.426762887838989,7.399999857,"2000",-0.308987116986932,0,-0.308987116986932,-0.615532356680605,1.09733190590292,2.0880931541645,-0.670939483511655,0.458900518220485,0.647,0.669,0.330922958938552,0.415572494954994,0.532727311019628,0.713655327506348
