"nesting.group","nest.group.num"
"Citizen-Chile-2005",59
"Citizen-Chile-2005",59
"Citizen-Chile-2005",59
"Citizen-Chile-2005",59
"Citizen-Chile-2005",59
"Citizen-Chile-2005",59
"Citizen-Chile-2006",60
"Citizen-Chile-2006",60
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2007",61
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2008",62
"Citizen-Chile-2009",63
"Citizen-Chile-2009",63
"Citizen-Chile-2009",63
"Citizen-Chile-2009",63
"Citizen-Chile-2009",63
"Citizen-Chile-2009",63
"Citizen-Chile-2010",64
"Citizen-Chile-2010",64
"Citizen-Chile-2010",64
"Citizen-Chile-2010",64
"Citizen-Chile-2010",64
"Citizen-Chile-2010",64
"Citizen-Chile-2010",64
"Citizen-Chile-2010",64
"Citizen-Chile-2010",64
"Citizen-Chile-2010",64
"Citizen-Chile-2011",65
"Citizen-Chile-2011",65
"Citizen-Chile-2011",65
"Citizen-Chile-2011",65
"Citizen-Chile-2012",66
"Citizen-Chile-2012",66
"Citizen-Chile-2012",66
"Citizen-Chile-2012",66
"Citizen-Chile-2012",66
"Citizen-Chile-2013",67
"Citizen-Chile-2013",67
"Citizen-Chile-2013",67
"Citizen-Chile-2014",68
"Citizen-Chile-2014",68
"Citizen-Colombia-1996",69
"Citizen-Colombia-1996",69
"Citizen-Colombia-1996",69
"Citizen-Colombia-1996",69
"Citizen-Colombia-1998",70
"Citizen-Colombia-1998",70
"Citizen-Colombia-1998",70
"Citizen-Colombia-1998",70
"Citizen-Colombia-1998",70
"Citizen-Colombia-1998",70
"Citizen-Colombia-1998",70
"Citizen-Colombia-1998",70
"Citizen-Colombia-1998",70
"Citizen-Colombia-2000",71
"Citizen-Colombia-2000",71
"Citizen-Colombia-2000",71
"Citizen-Colombia-2000",71
"Citizen-Colombia-2001",72
"Citizen-Colombia-2001",72
"Citizen-Colombia-2001",72
"Citizen-Colombia-2001",72
"Citizen-Colombia-2001",72
"Citizen-Colombia-2001",72
"Citizen-Colombia-2001",72
"Citizen-Colombia-2002",73
"Citizen-Colombia-2002",73
"Citizen-Colombia-2002",73
"Citizen-Colombia-2002",73
"Citizen-Colombia-2002",73
"Citizen-Colombia-2003",74
"Citizen-Colombia-2003",74
"Citizen-Colombia-2003",74
"Citizen-Colombia-2003",74
"Citizen-Colombia-2003",74
"Citizen-Colombia-2004",75
"Citizen-Colombia-2004",75
"Citizen-Colombia-2004",75
"Citizen-Colombia-2005",76
"Citizen-Colombia-2005",76
"Citizen-Colombia-2005",76
"Citizen-Colombia-2005",76
"Citizen-Colombia-2005",76
"Citizen-Colombia-2005",76
"Citizen-Colombia-2006",77
"Citizen-Colombia-2006",77
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2007",78
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2008",79
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2009",80
"Citizen-Colombia-2010",81
"Citizen-Colombia-2010",81
"Citizen-Colombia-2010",81
"Citizen-Colombia-2010",81
"Citizen-Colombia-2010",81
"Citizen-Colombia-2010",81
"Citizen-Colombia-2010",81
"Citizen-Colombia-2010",81
"Citizen-Colombia-2010",81
"Citizen-Colombia-2010",81
"Citizen-Colombia-2011",82
"Citizen-Colombia-2011",82
"Citizen-Colombia-2011",82
"Citizen-Colombia-2011",82
"Citizen-Colombia-2011",82
"Citizen-Colombia-2011",82
"Citizen-Colombia-2011",82
"Citizen-Colombia-2011",82
"Citizen-Colombia-2011",82
"Citizen-Colombia-2011",82
"Citizen-Colombia-2012",83
"Citizen-Colombia-2012",83
"Citizen-Colombia-2012",83
"Citizen-Colombia-2012",83
"Citizen-Colombia-2012",83
"Citizen-Colombia-2013",84
"Citizen-Colombia-2013",84
"Citizen-Colombia-2013",84
"Citizen-Colombia-2014",85
"Citizen-Colombia-2014",85
"Citizen-CostaRica-1996",86
"Citizen-CostaRica-1996",86
"Citizen-CostaRica-1996",86
"Citizen-CostaRica-1996",86
"Citizen-CostaRica-1998",87
"Citizen-CostaRica-1998",87
"Citizen-CostaRica-1998",87
"Citizen-CostaRica-1998",87
"Citizen-CostaRica-1998",87
"Citizen-CostaRica-1998",87
"Citizen-CostaRica-1998",87
"Citizen-CostaRica-1998",87
"Citizen-CostaRica-1998",87
"Citizen-CostaRica-2000",88
"Citizen-CostaRica-2000",88
"Citizen-CostaRica-2000",88
"Citizen-CostaRica-2000",88
"Citizen-CostaRica-2001",89
"Citizen-CostaRica-2001",89
"Citizen-CostaRica-2001",89
"Citizen-CostaRica-2001",89
"Citizen-CostaRica-2001",89
"Citizen-CostaRica-2001",89
"Citizen-CostaRica-2001",89
"Citizen-CostaRica-2002",90
"Citizen-CostaRica-2002",90
"Citizen-CostaRica-2002",90
"Citizen-CostaRica-2002",90
"Citizen-CostaRica-2002",90
"Citizen-CostaRica-2003",91
"Citizen-CostaRica-2003",91
"Citizen-CostaRica-2003",91
"Citizen-CostaRica-2003",91
"Citizen-CostaRica-2003",91
"Citizen-CostaRica-2004",92
"Citizen-CostaRica-2004",92
"Citizen-CostaRica-2004",92
"Citizen-CostaRica-2005",93
"Citizen-CostaRica-2005",93
"Citizen-CostaRica-2005",93
"Citizen-CostaRica-2005",93
"Citizen-CostaRica-2005",93
"Citizen-CostaRica-2005",93
"Citizen-CostaRica-2006",94
"Citizen-CostaRica-2006",94
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2007",95
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2008",96
"Citizen-CostaRica-2009",97
"Citizen-CostaRica-2009",97
"Citizen-CostaRica-2009",97
"Citizen-CostaRica-2009",97
"Citizen-CostaRica-2009",97
"Citizen-CostaRica-2009",97
"Citizen-CostaRica-2010",98
"Citizen-CostaRica-2010",98
"Citizen-CostaRica-2010",98
"Citizen-CostaRica-2010",98
"Citizen-CostaRica-2010",98
