Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Argentina	StdAverageTariff	0.69	0.55	0.55	0.5	0.5	0.78	0.89	0.9	0.91	0.91	0.9	0.9	0.89	0.87	0.87	0.87	0.9	0.88	0.88	0.9	0.91	0.91	0.91	0.93	0.93
Bolivia	StdAverageTariff	0.81	0.79	0.81	0.83	0.85	0.89	0.93	0.93	0.93	0.93	0.93	0.93	0.93	0.93	0.93	0.94	0.94	0.93	0.93	0.93	0.95	0.95	0.95	0.95	0.92
Brasil	StdAverageTariff	0.07	0.14	0.42	0.43	0.53	0.67	0.74	0.8	0.88	0.9	0.89	0.89	0.89	0.86	0.86	0.86	0.88	0.88	0.89	0.89	0.9	0.9	0.9	0.89	0.89
Chile	StdAverageTariff	0.63	0.81	0.81	0.87	0.87	0.87	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.93	0.94	0.95	0.96	0.97	0.97	0.97	0.97	0.97	0.97	0.97
Colombia	StdAverageTariff	0.04	0.48	0.48	0.47	0.47	0.76	0.96	0.9	0.9	0.9	0.88	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
CostaRica	StdAverageTariff	0.49	0.82	0.87	0.87	0.87	0.87	0.87	0.89	0.92	0.93	0.93	0.78	0.81	0.86	0.97	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98
DominicanRep	StdAverageTariff					0	0.79	0.79	0.79	0.79	0.83	0.83	0.83	0.87	0.87	0.87	0.83	0.95	0.94	0.94	0.95	0.94	0.94	0.96	0.94	0.95
Ecuador	StdAverageTariff	0.44	0.54	0.54	0.56	0.56	0.64	0.64	0.91	0.93	0.9	0.89	0.91	0.91	0.91	0.88			0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91
ElSalvador	StdAverageTariff		0.78	0.8	0.8	0.86	0.86	0.86	0.86	0.89	0.93	0.93	0.95	0.95	0.98	0.98	0.96	0.96	0.96	0.96	0.96	0.98	0.96	0.98	0.98	0.98
Guatemala	StdAverageTariff	0.56	0.56	0.8	0.8	0.89	0.89	0.89	0.89	0.89	0.94	0.93	0.94	0.95	0.95	0.96	0.96	0.97	0.97	0.97	0.98	0.98	0.98	0.98	0.98	0.98
