filename	privatization.beneficial	rev.privatization.beneficial	resc.privatization.beneficial	state.not.solves.problems	rev.state.not.solves.problems	resc.state.not.solves.problems	state.not.reduce.inequality	rev.state.not.reduce.inequality	resc.state.not.reduce.inequality	state.limited.scope	rev.state.limited.scope	economy.best.in.private.sector	rev.economy.best.in.private.sector	resc.economy.best.in.private.sector	market.best	rev.market.best	resc.market.best	state.not.in.price.control	state.not.in.primary.edu	state.not.in.housing	state.not.in.job.creation	state.not.in.secondary.edu	state.not.in.pensions	state.not.in.high.edu	state.not.in.unemployment	state.not.in.environ	state.not.in.basic.needs	state.not.in.sanitation	state.not.in.primsec.edu	rev.function	resc.function	sep.prim.sec	LR.ideology.self	LR.party.ideology	LR.ideology.prez1	LR.ideology.prez2
da52gua	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1403	
da53pan	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	
da54uru	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	
da56cr	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da57hon	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	p1506
da58sal	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da59col	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da60chi	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da61peru	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da62bol	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da63mex	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1504	
da64repdom	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da65ecu	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da66nica	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da67arg	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da69par	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p65	p1501	
da68guate	p34	0	1												p28	0	1	p2901		p2903	p2904		p2905	p2907				p2906	p2902	1	1	0	p64	p28	p1501	
da70sal	p35	0	0												p29	0	0	p3001		p3003	p3004		p3005	p3007				p3006	p3002	1	1	0	p65	p29	p1501	
da71pan	p35	0	0												p29	0	0	p3001		p3003	p3004		p3005	p3007				p3006	p3002	1	1	0	p65	p29	p1501	
da72ecu	p35	0	0												p29	0	0	p3001		p3003	p3004		p3005	p3007				p3006	p3002	1	1	0	p65	p29	p1501	
da73arg	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idln107	
da74hon	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idln101	
da76uru	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idln101	
da77chi	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idln101	
da78cr	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idli109	
da79mex	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idli102	
da80pe	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idln101	
Da82rdom	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idln101	
da83co	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idln105	
da85gua	priv1	0	0				roes104	1	0			roes101	1	1	em1	0	0				roes103		roes105	roes107						1	0	0	id1	id2	idln101	
